Image_ID,Title,Author,Medium,Date,Location,Provenance,Theme,Category,Classification,Descriptors,Symbols,Features,Scene,Face_position,Objects,Gestures,Physiognomy,Physiognomy_Image,Donor,Inscription,Dimensions (Px),Mode (RGB/L/CMYK),File_Size (KB),Mean_Contrast,Afro_Presence,VLM_Detection,Accepted_Tokens,Bias_Deviation,Link,Image_source,
90001,The Old Plantation,Atribuido a John Rose,Acuarela sobre papel,c. 1785–1795,"Abby Aldrich Rockefeller Folk Art Museum, Williamsburg, Virginia, EE.UU.","Plantación en el actual condado de Beaufort, Carolina del Sur","Vida cotidiana de esclavizados, danza y música afroamericana",Costumbrismo,"Temas seculares, Vida de plantación, Cultura afroamericana","Negro - negritud, Música, Danza, Vestimenta de origen africano occidental","Banjo (calabaza), Tambor tipo gudugudu, Sheguras (sonajeros de calabaza), Bastones de danza, Tocados de origen africano occidental","Edad: adulto, Escena: compuesta, Género femenino, Género masculino, Personaje colectivo, Personajes: profanos, Presencia: niños",Terrestre / plantación - río,Perfil y 3/4 (variable según figura),"Banjo, tambor, sonajeros, bastones","Personaje principal: Tocando instrumento; Personajes secundarios: Danzando, sosteniendo sonajeros; Otros personajes: Observando",De pie / en movimiento (danza),Cuerpo entero,Sin donante,Sin inscripción,1149x732,RGB,497.48,54.55,,,,,https://en.wikipedia.org/wiki/The_Old_Plantation,Abby Aldrich Rockefeller Folk Art Museum / Colonial Williamsburg,
90002,Los mulatos de Esmeraldas,Andrés Sánchez Gallque,Óleo sobre lienzo,1599,"Museo de América, Madrid, España (en depósito; colección del Museo del Prado)","Enviada desde la Real Audiencia de Quito a España, 1599","Retrato civil colonial, cimarronaje y vasallaje a la Corona",Retrato,"Temas seculares, Retrato de casta, Mestizaje racial y cultural, Escuela quiteña","Negro - negritud, Mestizaje, Indumentaria, Joyas","Lanzas africanas, Joyas indígenas andinas (collares, narigueras, orejeras, bezotes, sortijas de barba), Sedas, Ropajes europeos","Edad: adulto, Escena: compuesta, Género masculino, Personaje colectivo, Personajes: profanos",Terrestre / exterior - paisaje costero,Frente / 3/4,"Lanzas, joyas, sombreros",Personaje principal: Sombrero en mano (sumisión a la Corona); Personajes secundarios: De pie junto al padre; Otros personajes: No,De pie,Cuerpo entero,"Comitente: Juan del Barrio de Sepúlveda, oidor de la Real Audiencia de Quito",Sin inscripción,2953x1542,RGB,3934.24,42.86,,,,,https://es.wikipedia.org/wiki/Los_mulatos_de_Esmeraldas,Wikipedia (es); Museo de América; Museo del Prado,
3406,"De Negro, y de India, China Cambuja",Miguel Cabrera,Óleo sobre tela,1763,"Museo de América, Madrid, España","Ciudad de México, México","Castas,  pintura de",Paisaje,"Temas seculares, Castas, 16 cambujo - chino lobo india negro","Comida, Familia, Indígenas, Negro - negritud, Sombrero","Árbol, Capa, Cielo / paraíso, Frutas / verduras, Joyas, Manto","Edad: adulto, Edad: niñez, Escena: simple, Género femenino, Género masculino, Personaje colectivo, Personaje: contacto corporal, Personajes: profanos, Presencia: niños",Terrestre / paisaje,Rostro 3/4,No,"Personaje principal: Tomarse la mano a sí: Esperar, paciencia; Personaje secundario: Mano abajo indica: señalar; Otros personajes: No",De pie,Cuerpo tres cuartos,Sin donante,Inscripción,1400x1888,RGB,569.6,66.34,,,,,https://arca.uniandes.edu.co/obras/3406,"RISHEL, Joseph J. y Suzanne Stratton-Pruitt. Revelaciones. Las artes en América Latina, I492-I820. México: Fondo de Cultura Económica, 2007.",
11484,Santo Domingo y la familia de los condes de Casa Bayona,José Nicolás de la Escalera,Óleo sobre tela,1754–1804,"Iglesia de Santa María del Rosario, La Habana, Cuba",La Habana,"Domingo de Guzmán, santo",Vida,"Santos, Santos Masculinos, Fundadores, Domingo, Series Domingo","Elementos arquitectónicos, Esclavo, Familia, Predicación","Aureola, Libro, Lirio","Edad: adulto, Escena: compuesta, Género femenino, Género masculino, Personaje colectivo, Personajes: sagrados y profanos",Terrestre / ciudad - poblado,Frente,Libro,"Personaje principal: Palma arriba al frente:, Personaje secundario: Manos/brazos cruzadas pecho, Otros personajes: No",De pie,Cuerpo entero,Donante posiblemente presente,Cartela,907x765,RGB,119.3,90.45,,,,,https://arca.uniandes.edu.co/obras/11484,www.galeriacubarte.cult.cu/,
8548,Sibila Tiburtina,Anónimo,Óleo sobre tela,1700–1799,"Iglesia san Pedro González Telmo, Buenos Aires, Argentina",Buenos Aires,Sibilas,Alegoría/moral,"Alegorías y Emblemas, Alegorías cristológicas, Sibilas","Arco o marco de flores, Imagen en la imagen, Medallas e insignias, Turbante","Corona de flores, Joyas","Edad: adulto, Escena: simple, Género masculino/femenino, Personaje individual, Personajes: profanos",Escenario simbólico,Frente,Cartel,"Personaje principal: No, Personaje secundario: No, Otros personajes: No",De pie,Cuerpo medio,Sin donante,Varios iconotextos,2256x3003,RGB,1667.2,62.64,,,,,https://arca.uniandes.edu.co/obras/8548,"Academia Nacional de Bellas Artes. Historia general del arte en la Argentina, tomos I y II. Buenos Aires: Academia Nacional de Bellas Artes, 1982-2013.",
1052,Indian-african man with his indian wife and child,Anónimo,Óleo sobre tela,1700–1799,"Museum of Arts and Sciences, Daytona Beach, Estados Unidos","La Habana, Cuba","Castas,  pintura de",Paisaje,"Temas seculares, Castas, 13 chino - lobo negra mulato","África, Familia, Indígenas, Sombrero","Collar, Flores, Joyas, Niños","Edad: adulto, Edad: niñez, Escena: simple, Género femenino, Género masculino, Personaje colectivo, Personaje: contacto corporal, Personajes: profanos, Presencia: niños",Sin definir,Rostro 3/4,No,"Personaje principal: No, Personaje secundario: No, Otros personajes: No",Sentado,Cuerpo entero,Sin donante,Ninguna,2280x2982,RGB,2438.5,50.32,,,,,https://arca.uniandes.edu.co/obras/1052,"LIBBY, Gary Russell.  Cuba: a history in art. Daytona Beach, Fla: Museum of Arts and Sciences, 1997.",
2672,Alegoría de Africa,Anónimo,Óleo sobre tela,1700–1799,"Museo Soumaya, Ciudad de México, México",Ciudad de México,"Estaciones, continentes y países",Alegoría/moral,"Alegorías y Emblemas; Alegorías académicas y seculares; Estaciones, continentes y países","África, Alegoría, Carruaje / carreta, Paisaje","Elefante, Serpiente","Edad: adulto, Escena: simple, Género femenino, Personaje colectivo, Personajes: profanos, Presencia: animales",Terrestre otro,Rostro 3/4,Animal otros,"Personaje principal: No, Personaje secundario: No, Otros personajes: No",Sentado,Cuerpo entero,Sin donante,Inscripción,2724x2202,RGB,2083.6,66.25,,,,,https://arca.uniandes.edu.co/obras/2672,"AA.VV. Viento detenido. Mitologías e historias en el arte del biombo. México: Museo Sumaya, 1999.",
5420,San Agustín preside el concilio de Cartago,Basilio Pacheco,Óleo sobre tela,1745,"Iglesia san Agustín, Lima, Perú",Lima,"Agustín, san; Padres de la Iglesia",Vida,"Santos, Santos Masculinos, Santos de Iglesia Primitiva, Padres de la Iglesia, Agustín, Series Agustinas","África, Obispo / arzobispo, Tintero y pluma, Turbante","Aureola, Cruz / crucifijo, Libro, Mitra episcopal","Edad: adulto, Escena: simple, Género masculino, Personaje colectivo, Personajes: sagrados y profanos",Terrestre / interior - paisaje,Perfil,No,"Personaje principal: No, Personaje secundario: Múltiples gestos, Otros personajes: No",Sentado,Cuerpo entero,Sin donante,Cartela,1314x956,RGB,411.2,61.54,,,,,https://arca.uniandes.edu.co/obras/5420,PESSCA www.colonialart.org,
6710,Alegoría a África,Francisco Pedro do Amaral,Óleo sobre tela,1826,"Museu do Primeiro Reinado, Rio de Janeiro, Brasil",Rio de Janeiro,"Estaciones, continentes y países",Alegoría/moral,"Alegorías y Emblemas; Alegorías académicas y seculares; Estaciones, continentes y países","África, Alegoría, Naturaleza","Cayado / Bastón, Seno","Edad: adulto, Escena: simple, Género femenino, Personaje: desnudo parcial / total, Personaje individual, Personajes: profanos",Terrestre / paisaje,Rostro 3/4,Arco,"Personaje principal: No, Personaje secundario: No, Otros personajes: No",Sentado,Cuerpo entero,Sin donante,Ninguna,720x748,RGB,95.4,91.51,,,,,https://arca.uniandes.edu.co/obras/6710,"CAMPOFIORITO, Quirino. A pintura remanescente da colo^nia: 1800-1830. Rio de Janeiro: Pinakotheke, 1983.",
1375,Negro con Yndia. Producen Sambo de Yndia.,Anónimo,Óleo sobre tela,1770,"Museo Nacional de Antropología (Antes Museo Nacional de Etnología), Madrid, España","Lima, Perú","Castas,  pintura de",Paisaje,"Temas seculares, Castas, 12 lobo - india negra mulato","Familia, Indígenas, Negro - negritud, Paisaje","Capa, Collar, Manto, Niños","Edad: adulto, Edad: niñez, Escena: simple, Género femenino, Género masculino, Personaje colectivo, Personaje: contacto corporal, Personajes: profanos, Presencia: niños",Sin definir,Rostro 3/4,Ropa propia,"Personaje principal: Agarra: acción de autoridad, Personaje secundario: No, Otros personajes: No",De pie,Cuerpo tres cuartos,Sin donante,Inscripción,3292x2576,RGB,2569,55.82,,,,,https://arca.uniandes.edu.co/obras/1375,"ESTENSSORO, Juan Carlos et al. Los cuadros de mestizaje del virrey Amat. La representación etnográfica en el Perú colonial. Lima: Museo de Arte de Lima, 2000.",
10640,San Benito de Palermo,Anónimo,Óleo sobre tela,1650–1750,"Iglesia y convento san Francisco de Asis, Cuzco, Perú",Cuzco,"Benito de Palermo, san; Santos medievales",Vida,"Santos, Santos Masculinos, Santos de órdenes y tradiciones, Santos Franciscanos, Benito de Palermo","Aparición, Canasto, Comida, Negro - negritud","Aureola, Aureola de rayos o luz, Oveja","Edad: adulto, Escena: compuesta, Género masculino, Personaje colectivo, Personajes: sagrados y profanos, Presencia: animales, Presencia: niños",Terrestre / paisaje,Rostro 3/4,Fruta,"Personaje principal: Indice arriba: amenaza, Personaje secundario: No, Otros personajes: No",De pie,Cuerpo entero,Sin donante,Cartela,1778x3226,RGB,1148.2,80.15,,,,,https://arca.uniandes.edu.co/obras/10640,"BAYÓN, Damián y Murillo Marx. L´art colonial Sud-Américain: domaine espagnol et Brésil  París: Aurore Éditions D´art, SF.",
11081,San Luis Beltrán bautizando a un príncipe nativo,Anónimo,Óleo sobre tela,1700–1799,"Robert Simon Fine Art, Nueva York, Estados Unidos","Lima, Perú","Luis Beltrán, san",Alegoría/moral,"Santos, Santos Masculinos, Santos de órdenes y tradiciones, Santos dominicos, Luis Beltrán","Ángeles / querubines, Negro - negritud","Bautismo, Copa / Cáliz, Cruz / crucifijo, Halo de luz, Serpiente","Edad: adulto, Edad: niñez, Escena: simple, Género masculino/femenino, Personaje colectivo, Personaje: desnudo parcial / total, Personajes: sagrados, Presencia: niños",Celeste / terrestre,Rostro 3/4,Concha,"Personaje principal: Señalar con dedo: mando, orden, traicionar; Personaje secundario: Manos/brazos cruzadas pecho; Otros personajes: No",De pie,Cuerpo tres cuartos,Sin donante,Cartela,950x1250,RGB,343.5,71.32,,,,,https://arca.uniandes.edu.co/obras/11081,https://www.robertsimon.com/colonial,
1370,Español. Requinterona de Mulato. Produce gente blanca.,Anónimo,Óleo sobre tela,1770,"Museo Nacional de Antropología (Antes Museo Nacional de Etnología), Madrid, España","Lima, Perú","Castas,  pintura de",Paisaje,"Temas seculares, Castas, 03 español - castizo español","Familia, Negro - negritud, Riqueza","Collar, Flores, Joyas, Niños","Edad: adulto, Edad: niñez, Escena: simple, Género femenino, Género masculino, Personaje colectivo, Personaje: contacto corporal, Personajes: profanos, Presencia: niños",Sin definir,Rostro 3/4,No,"Personaje principal: Mano abierta, girada: proferir razones; Personaje secundario: Tocar espalda: Incitar, animar; Otros personajes: No",De pie,Cuerpo tres cuartos,Sin donante,Inscripción,3368x2664,RGB,3190.9,71.43,,,,,https://arca.uniandes.edu.co/obras/1370,"ESTENSSORO, Juan Carlos et al. Los cuadros de mestizaje del virrey Amat. La representación etnográfica en el Perú colonial. Lima: Museo de Arte de Lima, 2000.",
1376,Negro. Con Mulata. Produce Sambo.,Anónimo,Óleo sobre tela,1770,"Museo Nacional de Antropología (Antes Museo Nacional de Etnología), Madrid, España","Lima, Perú","Castas,  pintura de",Paisaje,"Temas seculares, Castas, 06 zambo - negro mulata","Familia, Negro - negritud","Collar, Cruz / crucifijo, Flores, Joyas, Manto, Niños, Rosario","Edad: adulto, Edad: niñez, Escena: simple, Género femenino, Género masculino, Personaje colectivo, Personaje: contacto corporal, Personajes: profanos, Presencia: niños",Sin definir,Rostro 3/4,No,"Personaje principal: Agarra: acción de autoridad, Personaje secundario: No, Otros personajes: No",De pie,Cuerpo tres cuartos,Sin donante,Inscripción,2748x2180,RGB,2105.4,52.18,,,,,https://arca.uniandes.edu.co/obras/1376,"ESTENSSORO, Juan Carlos et al. Los cuadros de mestizaje del virrey Amat. La representación etnográfica en el Perú colonial. Lima: Museo de Arte de Lima, 2000.",
6254,Don Sebastián Escudero y su esposa Doña Juliana Merlier,Anónimo,Óleo sobre tela,1720–1770,"Colección C. Larco, Perú (sin ubicación), Perú","Trujillo, Perú","Parejas, pintura de",Retrato,"Retrato, Retrato de familias, Parejas","Esclavo, Negro - negritud, Sombrero, Tintero y pluma",Joyas,"Edad: adulto, Escena: simple, Género masculino/femenino, Personaje colectivo, Personajes: profanos",Sin definir,Rostro 3/4,Sombrero / indumentaria,"Personaje principal: Compuesto: mano bendice - otra pecho, Personaje secundario: No, Otros personajes: No",De pie,Cuerpo entero,Sin donante,Ninguna,1610x1924,RGB,257.4,75.79,,,,,https://arca.uniandes.edu.co/obras/6254,"MESA, José de  y Teresa Gisbert. Historia de la pintura cuzqueña. Lima: Fundación Augusto N. Wiese, Banco Wiese, 1982.",
